%          Ground truth positioning data 
%  Timestamp (sec)       x (m)    y (m)    phi (rad)  
% ----------------------------------------------------
   1281005021.490192   -11.542     0.833   -3.0538
   1281005022.130657   -11.866     0.803   -3.1310
   1281005022.770290   -12.174     0.831    2.9713
   1281005027.680134   -12.199     0.832    3.0051
   1281005034.510174   -12.366     0.838   -3.0181
   1281005034.940441   -12.414     0.808   -2.7309
   1281005035.360696   -12.431     0.779   -2.4424
   1281005035.790676   -12.442     0.771   -2.1463
   1281005036.210340   -12.447     0.758   -1.8507
   1281005036.640769   -12.447     0.769   -1.5503
   1281005037.069969   -12.431     0.650   -1.2462
   1281005037.500107   -12.387     0.557   -0.9466
   1281005037.920182   -12.255     0.463   -0.6463
   1281005038.351125   -12.059     0.346   -0.3399
   1281005038.560208   -11.829     0.315   -0.0503
   1281005039.420109   -11.538     0.331    0.1574
   1281005040.050657   -11.217     0.384    0.1545
   1281005040.690558   -10.902     0.423    0.0751
   1281005041.550427   -10.455     0.457    0.0684
   1281005042.190552   -10.136     0.478    0.0661
   1281005042.830562    -9.822     0.499    0.0564
   1281005043.470736    -9.507     0.521    0.1635
   1281005043.900143    -9.286     0.577    0.4349
   1281005044.330548    -9.120     0.725    0.7263
   1281005044.970999    -8.890     0.973    0.9503
   1281005045.600221    -8.686     1.217    1.0366
   1281005046.250675    -8.497     1.485    0.8274
   1281005046.890493    -8.283     1.724    0.9397
   1281005047.530501    -8.175     2.001    1.1936
   1281005048.160271    -8.059     2.310    1.1785
   1281005048.810495    -7.918     2.599    1.1323
   1281005049.230723    -7.833     2.807    1.3258
   1281005049.870571    -7.800     3.128    1.5235
   1281005050.510524    -7.784     3.458    1.5192
   1281005051.151041    -7.754     3.773    1.3875
   1281005051.790268    -7.675     4.080    1.2152
   1281005052.430531    -7.495     4.364    1.0566
   1281005053.070199    -7.314     4.624    0.8465
   1281005053.710211    -7.080     4.841    0.7092
   1281005054.361234    -6.902     5.081    0.9780
   1281005054.780248    -6.800     5.274    1.2831
   1281005055.210173    -6.767     5.498    1.5853
   1281005056.490643    -6.765     5.404    1.7892
   1281005056.910640    -6.700     5.215    2.0394
   1281005057.340185    -6.691     5.102    2.2915
   1281005057.770523    -6.750     5.189    2.6158
   1281005058.200191    -6.973     5.232    2.9014
   1281005058.620171    -7.205     5.261   -3.0738
   1281005059.050498    -7.386     5.212   -2.7738
   1281005059.470353    -7.585     5.107   -2.4833
   1281005059.900202    -7.718     4.933   -2.1829
   1281005060.330648    -7.783     4.730   -1.8907
   1281005060.760289    -7.831     4.508   -1.6625
   1281005061.400223    -7.904     4.100   -1.9192
   1281005062.250545    -8.015     3.806   -1.8879
   1281005062.890518    -8.083     3.496   -1.5646
   1281005063.530550    -8.083     3.178   -1.6636
   1281005064.170474    -8.154     2.851   -1.8564
   1281005064.810532    -8.222     2.529   -1.6456
   1281005065.450531    -8.219     2.198   -1.4688
   1281005066.090752    -8.189     1.903   -1.4806
   1281005066.730559    -8.124     1.561   -1.4922
   1281005067.370593    -8.106     1.251   -1.4031
   1281005067.800194    -8.041     1.071   -1.1667
   1281005068.230549    -7.921     0.865   -0.8630
   1281005068.651435    -7.731     0.721   -0.6228
   1281005069.080195    -7.598     0.672   -0.4242
   1281005073.350829    -7.634     0.677   -0.3901
   1281005076.340567    -7.325     0.536   -0.4486
   1281005076.970201    -7.042     0.396   -0.2815
   1281005077.620542    -6.753     0.341   -0.0978
   1281005078.250216    -6.447     0.314   -0.0811
   1281005078.900555    -6.118     0.292   -0.0695
   1281005079.530150    -5.798     0.278   -0.0670
   1281005080.170305    -5.462     0.269   -0.0781
   1281005080.820506    -5.130     0.243   -0.0852
   1281005081.460222    -4.812     0.214   -0.0912
   1281005082.100512    -4.500     0.184   -0.0972
   1281005082.740511    -4.185     0.150   -0.0998
   1281005083.370181    -3.838     0.115   -0.1069
   1281005084.020530    -3.509     0.082   -0.1071
   1281005084.660681    -3.200     0.046   -0.1152
   1281005085.300189    -2.887     0.010   -0.1224
   1281005085.940190    -2.561    -0.035   -0.1275
   1281005086.580205    -2.240    -0.093   -0.1316
   1281005087.220201    -1.933    -0.129   -0.1296
   1281005087.860233    -1.549    -0.143    0.0667
   1281005088.290541    -1.351    -0.061    0.3571
   1281005088.710556    -1.155     0.044    0.6647
   1281005089.140213    -0.999     0.189    0.9621
   1281005089.570169    -0.886     0.336    1.2426
   1281005089.990477    -0.829     0.783    1.4142
   1281005091.060369    -0.776     1.091    1.4707
   1281005091.700194    -0.776     1.416    1.6263
   1281005092.340718    -0.808     1.749    1.5874
   1281005092.980182    -0.775     2.069    1.3770
   1281005093.620178    -0.723     2.397    1.5208
   1281005094.260233    -0.737     2.719    1.6863
   1281005094.900216    -0.819     3.054    1.6941
   1281005095.540221    -0.856     3.371    1.6575
   1281005096.180195    -0.880     3.687    1.6045
   1281005096.820206    -0.881     4.008    1.5362
   1281005097.460247    -0.856     4.320    1.4896
   1281005100.230226    -0.826     4.238    0.4928
   1281005102.800114    -0.806     4.068   -1.3056
   1281005103.440511    -0.769     3.726   -1.6200
   1281005104.080269    -0.780     3.410   -1.5131
   1281005104.500622    -0.707     3.206   -1.2616
   1281005104.930108    -0.647     3.023   -0.9465
   1281005105.360538    -0.487     2.897   -0.6633
   1281005105.790167    -0.319     2.794   -0.3669
   1281005106.430194    -0.012     2.697   -0.2201
   1281005107.070765     0.305     2.708    0.0747
   1281005107.700211     0.664     2.748    0.1937
   1281005108.350280     0.986     2.808    0.1833
   1281005108.991091     1.264     2.887    0.3246
   1281005109.410371     1.458     2.966    0.5879
   1281005109.840687     1.626     3.113    0.8939
   1281005110.270200     1.741     3.333    1.1955
   1281005110.900640     1.777     3.651    1.3485
   1281005111.760562     1.870     4.004    1.1528
   1281005112.830747     1.987     4.226    1.2208
   1281005114.110531     2.006     4.313    1.3025
   1281005115.810536     2.035     4.434    1.4650
   1281005117.310522     2.017     4.315    0.9448
   1281005119.010739     2.111     4.360   -0.2150
   1281005121.151186     2.069     4.172   -1.6013
   1281005121.790534     2.043     3.847   -1.7425
   1281005122.430479     1.954     3.527   -2.0157
   1281005123.070379     1.791     3.264   -2.2197
   1281005123.710994     1.604     2.999   -2.1302
   1281005124.350303     1.385     2.784   -2.2696
   1281005124.990461     1.136     2.607   -2.6897
   1281005125.630512     0.821     2.522   -3.0726
   1281005126.270527     0.513     2.535    3.0705
   1281005126.910529     0.205     2.558    3.0609
   1281005127.550542    -0.129     2.590    3.0008
   1281005128.190507    -0.445     2.649    2.8987
   1281005128.830550    -0.739     2.736    2.7945
   1281005129.470579    -1.055     2.844    2.8226
   1281005130.110540    -1.366     2.914    3.0042
   1281005130.760207    -1.696     2.910    3.0035
   1281005131.390389    -2.014     2.954    2.9979
   1281005132.030363    -2.323     3.009    2.9391
   1281005132.670482    -2.634     3.083    2.8712
   1281005133.311243    -2.938     3.174    2.8278
   1281005133.950600    -3.238     3.270    2.8231
   1281005134.590527    -3.588     3.367    2.9933
   1281005135.020171    -3.794     3.374   -3.0075
   1281005135.660179    -4.129     3.294   -2.8000
   1281005136.300198    -4.435     3.186   -2.7376
   1281005136.940157    -4.682     3.022   -2.5152
   1281005137.580137    -4.912     2.765   -2.2221
   1281005138.220173    -5.092     2.494   -2.1233
   1281005138.860226    -5.243     2.211   -1.9865
   1281005139.500191    -5.336     1.933   -1.7296
   1281005140.140154    -5.350     1.616   -1.4904
   1281005140.780153    -5.298     1.292   -1.2382
   1281005141.210689    -5.209     1.088   -1.0346
   1281005141.850543    -5.001     0.870   -0.7345
   1281005142.280599    -4.819     0.739   -0.5286
   1281005142.710211    -4.613     0.643   -0.3304
   1281005143.340519    -4.312     0.573   -0.1388
   1281005143.980551    -3.975     0.527   -0.1252
   1281005144.620902    -3.660     0.490   -0.1066
   1281005145.260767    -3.330     0.456   -0.0912
   1281005145.900794    -2.998     0.430   -0.0743
   1281005146.540943    -2.666     0.408   -0.0608
   1281005147.181329    -2.343     0.392   -0.0410
   1281005147.830469    -2.028     0.386    0.0340
   1281005148.460160    -1.704     0.421    0.1885
   1281005149.100153    -1.371     0.542    0.4419
   1281005149.750829    -1.109     0.731    0.7393
   1281005150.170529    -0.986     0.873    0.9485
   1281005150.810717    -0.838     1.153    1.2513
   1281005151.450535    -0.770     1.463    1.4957
   1281005152.090551    -0.760     1.787    1.5870
   1281005152.740211    -0.784     2.110    1.6578
   1281005153.380128    -0.846     2.429    1.9350
   1281005153.800299    -0.986     2.604    2.2215
   1281005154.230518    -1.138     2.769    2.5339
   1281005154.650634    -1.350     2.817    2.8111
   1281005155.080220    -1.563     2.840    3.0289
   1281005155.720263    -1.885     2.869    3.0297
   1281005156.360168    -2.176     2.955    2.6903
   1281005157.430847    -2.359     3.223    2.1133
   1281005158.070433    -2.479     3.511    1.8451
   1281005158.711181    -2.504     3.811    1.3958
   1281005159.350540    -2.431     4.032    1.1162
   1281005159.990735    -2.310     4.307    1.2141
   1281005160.630542    -2.211     4.598    1.3107
   1281005161.270554    -2.136     4.917    1.3745
   1281005163.190562    -2.102     4.789    1.5083
   1281005164.470479    -2.175     4.661    1.6565
   1281005166.600435    -2.183     4.725    1.8630
   1281005167.240436    -2.193     4.757    2.2085
   1281005167.670360    -2.222     4.737    2.4896
   1281005168.100115    -2.336     4.801    2.7968
   1281005168.520611    -2.473     4.834    3.0617
   1281005170.230175    -2.316     4.823    2.8810
   1281005170.870256    -2.542     4.912    2.7614
   1281005171.510207    -2.877     5.041    2.7021
   1281005172.150234    -3.122     5.181    2.6069
   1281005172.790204    -3.371     5.369    2.3271
   1281005173.430197    -3.511     5.611    2.0640
   1281005174.710584    -3.617     5.773    2.0099
   1281005175.350088    -3.716     5.948    2.2976
   1281005176.211169    -3.803     5.990    2.5475
   1281005176.630478    -3.996     6.105    2.7734
   1281005177.060261    -4.173     6.154    3.0633
   1281005177.490738    -4.358     6.117   -2.9587
   1281005178.550804    -4.219     6.142   -2.7491
   1281005179.200585    -4.438     6.029   -2.4366
   1281005179.620139    -4.578     5.843   -2.1365
   1281005180.050131    -4.676     5.640   -1.8401
   1281005180.480113    -4.709     5.440   -1.5452
   1281005181.760137    -4.666     5.259   -1.4331
   1281005182.400109    -4.626     4.945   -1.4701
   1281005183.030635    -4.598     4.629   -1.5088
   1281005183.680212    -4.584     4.289   -1.5513
   1281005184.320147    -4.574     3.977   -1.4390
   1281005184.740992    -4.542     3.764   -1.1619
   1281005185.170188    -4.433     3.622   -0.8678
   1281005185.810188    -4.269     3.431   -0.8807
   1281005187.940233    -4.357     3.066   -1.8744
   1281005188.590527    -4.568     2.671   -2.1364
   1281005189.440139    -4.703     2.399   -2.1356
   1281005190.080132    -4.901     2.114   -2.1419
   1281005190.720153    -5.085     1.861   -2.1421
   1281005191.360181    -5.261     1.589   -2.1526
   1281005192.000139    -5.397     1.341   -2.0030
   1281005192.420875    -5.406     1.321   -1.7825
   1281005192.850561    -5.407     1.244   -1.4897
   1281005193.280694    -5.368     1.019   -1.1802
   1281005193.710106    -5.207     0.829   -0.8848
   1281005194.130189    -5.084     0.690   -0.5820
   1281005194.560558    -4.885     0.598   -0.3411
   1281005195.200516    -4.561     0.497   -0.3210
   1281005195.840944    -4.246     0.395   -0.2754
   1281005196.480775    -3.924     0.360   -0.1482
   1281005197.121033    -3.624     0.327   -0.0879
   1281005197.760159    -3.292     0.305   -0.0631
   1281005198.399998    -2.987     0.289   -0.0365
   1281005199.040038    -2.652     0.279   -0.0233
   1281005199.680404    -2.327     0.265   -0.0394
   1281005200.320806    -1.978     0.273    0.2245
   1281005200.960545    -1.654     0.357    0.2334
   1281005201.600804    -1.338     0.398   -0.0362
   1281005202.240235    -1.024     0.359   -0.1801
   1281005202.880522    -0.729     0.288   -0.3074
   1281005203.520555    -0.412     0.163   -0.4802
   1281005204.160914    -0.140    -0.025   -0.6462
   1281005204.800549     0.101    -0.234   -0.8140
   1281005205.440886     0.253    -0.489   -0.9887
   1281005206.080477     0.416    -0.753   -1.1617
   1281005206.720228     0.526    -1.042   -1.3478
   1281005207.370200     0.545    -1.362   -1.6636
   1281005208.010628     0.516    -1.679   -1.6682
   1281005208.650584     0.483    -2.026   -1.6694
   1281005209.290660     0.452    -2.345   -1.6660
   1281005209.930655     0.424    -2.653   -1.6794
   1281005210.570548     0.390    -2.975   -1.6658
   1281005211.201177     0.354    -3.325   -1.6705
   1281005211.850357     0.324    -3.647   -1.6533
   1281005212.490170     0.302    -3.975   -1.5468
   1281005212.910127     0.324    -4.186   -1.3083
   1281005213.340657     0.379    -4.275   -1.0938
   1281005215.260544     0.435    -4.476   -1.4706
   1281005216.120550     0.311    -4.911   -2.0465
   1281005216.750213     0.123    -5.111   -2.4987
   1281005217.400922    -0.153    -5.266   -2.6420
   1281005218.030165    -0.419    -5.446   -2.3354
   1281005219.100560    -0.381    -5.387   -2.1056
   1281005220.590477    -0.335    -5.300   -2.0394
   1281005221.660315    -0.396    -5.432   -1.9037
   1281005222.300477    -0.370    -5.503   -1.6891
   1281005222.730147    -0.369    -5.513   -1.3877
   1281005223.150900    -0.335    -5.532   -1.0888
   1281005223.580153    -0.226    -5.633   -0.7985
   1281005224.010508    -0.090    -5.753   -0.4873
   1281005224.440127    -0.030    -5.766   -0.2118
   1281005224.860136    -0.019    -5.761    0.1003
   1281005225.290213     0.154    -5.726    0.4070
   1281005225.720142     0.315    -5.633    0.7180
   1281005226.140201     0.468    -5.472    1.0244
   1281005226.570512     0.504    -5.287    1.3040
   1281005227.000305     0.542    -5.079    1.6142
   1281005227.420197     0.510    -4.851    1.9015
   1281005228.059970     0.392    -4.554    1.9413
   1281005228.700545     0.306    -4.254    1.6338
   1281005229.340809     0.394    -3.916    1.2123
   1281005229.980440     0.532    -3.620    1.0113
   1281005230.630129     0.760    -3.393    0.6530
   1281005231.260718     0.905    -3.243    0.6063
   1281005231.901185     1.005    -3.166    0.8580
   1281005232.330207     1.048    -3.103    1.1550
   1281005232.760445     1.106    -2.955    1.4679
   1281005233.180403     1.112    -2.719    1.7698
   1281005233.610173     0.991    -2.542    2.0603
   1281005234.040940     0.871    -2.359    2.2980
   1281005234.680916     0.666    -2.132    2.2588
   1281005235.320240     0.509    -1.854    1.9064
   1281005235.960557     0.495    -1.555    1.5219
   1281005236.600852     0.583    -1.242    1.0792
   1281005237.240633     0.764    -0.985    0.6376
   1281005237.880545     1.076    -0.859    0.1926
   1281005238.520808     1.430    -0.848    0.0117
   1281005239.160256     1.726    -0.831    0.1315
   1281005239.800223     2.049    -0.766    0.3154
   1281005240.440584     2.347    -0.650    0.3831
   1281005241.080595     2.651    -0.557    0.2010
   1281005241.720661     2.963    -0.508    0.0806
   1281005242.360711     3.266    -0.511   -0.0970
   1281005243.000931     3.610    -0.595   -0.1725
   1281005243.641122     3.941    -0.626   -0.1780
   1281005244.280802     4.244    -0.680   -0.1765
   1281005244.920207     4.553    -0.734   -0.1714
   1281005245.560499     4.874    -0.788   -0.1769
   1281005246.200230     5.216    -0.849   -0.1710
   1281005246.840661     5.522    -0.902   -0.1719
   1281005247.480542     5.837    -0.959   -0.1753
   1281005248.120539     6.147    -1.005   -0.1757
   1281005248.760542     6.454    -1.059   -0.1719
   1281005249.400813     6.770    -1.117   -0.1754
   1281005250.260486     7.219    -1.202   -0.2039
   1281005250.900570     7.517    -1.265   -0.2455
   1281005251.540295     7.858    -1.344   -0.2561
   1281005252.180548     8.261    -1.433   -0.0946
   1281005253.030205     8.574    -1.423    0.0949
   1281005253.670189     8.884    -1.365    0.1983
   1281005254.310162     9.196    -1.299    0.1946
   1281005254.950030     9.521    -1.258    0.1986
   1281005255.590134     9.834    -1.193    0.2042
   1281005256.230165    10.150    -1.125    0.2134
   1281005256.880580    10.461    -1.058    0.1848
   1281005257.510133    10.768    -1.022   -0.0017
   1281005258.150183    11.088    -1.098   -0.3470
   1281005258.790221    11.349    -1.251   -0.7871
   1281005259.430193    11.535    -1.509   -1.2282
   1281005260.069993    11.545    -1.815   -1.6532
   1281005260.710790    11.505    -2.144   -1.7009
   1281005261.360891    11.465    -2.454   -1.6926
   1281005261.990234    11.427    -2.777   -1.6858
   1281005262.641443    11.376    -3.102   -1.7878
   1281005263.280517    11.286    -3.411   -1.9278
   1281005263.910553    11.173    -3.700   -1.9488
   1281005264.550222    11.059    -3.995   -1.9215
   1281005265.190203    10.949    -4.340   -1.8723
   1281005265.830237    10.860    -4.651   -1.8345
   1281005266.480110    10.778    -4.966   -1.7640
   1281005267.120159    10.724    -5.289   -1.6985
   1281005267.750711    10.694    -5.606   -1.6169
   1281005268.391107    10.689    -5.928   -1.5515
   1281005269.040136    10.706    -6.247   -1.4677
   1281005269.680142    10.801    -6.542   -1.3081
   1281005270.530718    10.843    -6.665   -1.0223
   1281005270.960184    10.892    -6.724   -0.7196
   1281005271.600021    11.010    -6.780   -0.2745
   1281005272.020220    11.033    -6.785    0.0164
   1281005272.450576    10.997    -6.725    0.3013
   1281005272.880206    10.998    -6.725    0.5919
   1281005273.310546    11.002    -6.763    0.9004
   1281005273.730931    11.036    -6.658    1.2034
   1281005274.370710    11.132    -6.300    1.4209
   1281005275.010552    11.151    -5.991    1.5908
   1281005275.650726    11.145    -5.661    1.5743
   1281005276.290533    11.144    -5.339    1.5542
   1281005276.930415    11.152    -5.007    1.5362
   1281005277.570906    11.163    -4.689    1.5303
   1281005278.210695    11.170    -4.413    1.5106
   1281005278.850774    11.199    -4.047    1.5018
   1281005279.490502    11.222    -3.729    1.4795
   1281005280.130837    11.257    -3.406    1.4462
   1281005280.770209    11.294    -3.090    1.4947
   1281005281.410677    11.282    -2.773    1.7325
   1281005282.050552    11.191    -2.465    1.9583
   1281005282.700191    11.025    -2.174    2.2000
   1281005283.330529    10.810    -1.945    2.4154
   1281005283.970558    10.557    -1.724    2.3871
   1281005284.610694    10.324    -1.514    2.4024
   1281005285.250240    10.067    -1.340    2.6012
   1281005285.680196     9.893    -1.255    2.8383
   1281005286.320167     9.546    -1.170    2.9641
   1281005286.960150     9.220    -1.115    2.9932
   1281005287.820173     8.786    -1.056    3.0293
   1281005288.461287     8.466    -1.023    3.0853
   1281005289.100525     8.135    -1.084   -2.8982
   1281005289.520545     7.964    -1.165   -2.6400
   1281005289.950191     7.774    -1.272   -2.3730
   1281005290.380527     7.683    -1.447   -2.1443
   1281005291.020905     7.516    -1.722   -2.0289
   1281005291.660527     7.386    -2.004   -1.8807
   1281005292.300863     7.292    -2.310   -1.9167
   1281005292.940844     7.148    -2.596   -2.2699
   1281005293.580542     6.888    -2.803   -2.7128
   1281005294.220511     6.543    -2.876   -3.0225
   1281005294.860593     6.231    -2.920   -2.9930
   1281005295.500593     5.920    -2.907    3.1189
   1281005296.140589     5.599    -2.860    2.9571
   1281005296.780660     5.271    -2.884   -3.1339
   1281005297.420737     4.991    -2.916   -3.1072
   1281005298.060222     4.666    -2.923    3.1399
   1281005298.700162     4.339    -2.913    3.0976
   1281005299.340429     4.022    -2.889    3.0924
   1281005299.980179     3.664    -2.891   -2.9200
   1281005300.410519     3.506    -2.962   -2.6354
   1281005300.830733     3.471    -3.016   -2.3427
   1281005301.260152     3.393    -3.082   -2.0414
   1281005301.690409     3.378    -3.273   -1.7589
   1281005302.110499     3.352    -3.481   -1.4356
   1281005302.540556     3.409    -3.606   -1.1647
   1281005303.180202     3.531    -3.891   -1.2631
   1281005303.820199     3.573    -4.223   -1.6469
   1281005304.460199     3.525    -4.506   -1.7984
   1281005305.100203     3.446    -4.831   -1.8333
   1281005305.740402     3.343    -5.171   -1.8999
   1281005306.380196     3.164    -5.474   -1.9561
   1281005307.240548     3.132    -5.750   -1.7748
   1281005307.660240     3.128    -5.838   -1.5111
   1281005308.090733     3.158    -5.923   -1.2231
   1281005308.520154     3.222    -6.048   -0.9161
   1281005309.150440     3.495    -6.302   -0.7870
   1281005309.800480     3.714    -6.530   -0.7952
   1281005310.440170     3.917    -6.738   -0.8130
   1281005311.080185     4.099    -6.969   -1.1106
   1281005312.151052     4.120    -7.085   -0.8813
   1281005312.570916     4.192    -7.096   -0.6139
   1281005313.000566     4.301    -7.144   -0.3126
   1281005313.860445     4.698    -7.244   -0.2143
   1281005314.490192     5.018    -7.278    0.0506
   1281005315.130033     5.328    -7.218    0.2022
   1281005315.770197     5.590    -7.126   -0.1157
   1281005316.410193     5.920    -7.258   -0.3721
   1281005317.050208     6.171    -7.308   -0.3482
   1281005317.700563     6.532    -7.450   -0.2499
   1281005321.540553     6.597    -7.463   -0.0489
   1281005322.600200     6.858    -7.422    0.0218
   1281005323.460147     7.134    -7.394    0.3357
   1281005323.880176     7.308    -7.312    0.6335
   1281005324.310512     7.481    -7.157    0.9404
   1281005324.740179     7.590    -6.964    1.2323
   1281005325.380125     7.665    -6.678    1.3623
   1281005326.020132     7.731    -6.361    1.3623
   1281005326.650472     7.790    -6.054    1.3486
   1281005327.300172     7.868    -5.740    1.1378
   1281005327.940580     8.064    -5.478    0.7398
   1281005328.580155     8.337    -5.242    0.8333
   1281005329.000244     8.424    -5.072    1.0739
   1281005329.430221     8.485    -4.918    1.3685
   1281005330.070837     8.504    -4.629    1.6173
   1281005330.710559     8.412    -4.303    1.8534
   1281005331.350517     8.328    -3.981    1.7899
   1281005331.990138     8.315    -3.814    1.6844
   1281005333.060299     8.251    -3.647    1.8910
   1281005333.490103     8.160    -3.470    2.1897
   1281005333.910148     8.024    -3.306    2.4936
   1281005334.340155     7.843    -3.245    2.7839
   1281005334.770142     7.648    -3.203    3.0861
   1281005335.409964     7.314    -3.207   -3.1058
   1281005336.050178     6.982    -3.186    2.8486
   1281005336.690159     6.699    -3.006    2.5233
   1281005337.541091     6.576    -2.909    2.4720
   1281005337.970185     6.436    -2.811    2.6946
   1281005338.390196     6.261    -2.792    2.9873
   1281005338.820549     6.036    -2.787   -3.0061
   1281005339.460674     5.698    -2.818   -3.0555
   1281005340.100583     5.388    -2.812    3.0349
   1281005340.740215     5.072    -2.795   -3.0297
   1281005341.380294     4.729    -2.838   -2.9824
   1281005342.020193     4.436    -2.895    3.1392
   1281005342.660161     4.137    -2.923   -2.8905
   1281005343.090575     3.946    -2.982   -2.5853
   1281005343.731055     3.724    -3.155   -2.4720
   1281005344.370495     3.463    -3.368   -2.3714
   1281005344.790147     3.360    -3.544   -2.1103
   1281005345.220175     3.296    -3.693   -1.8759
   1281005346.500189     3.269    -3.829   -1.6802
   1281005347.780218     3.286    -3.701   -1.4089
   1281005348.210520     3.334    -3.837   -1.1380
   1281005349.280268     3.400    -4.193   -1.4958
   1281005349.920294     3.379    -4.503   -1.7366
   1281005350.560233     3.326    -4.818   -1.7476
   1281005351.200583     3.269    -5.136   -1.7687
   1281005351.840601     3.230    -5.446   -1.5440
   1281005352.480187     3.268    -5.777   -1.3775
   1281005353.120173     3.347    -6.093   -1.3155
   1281005353.760008     3.476    -6.392   -1.1826
   1281005354.180026     3.553    -6.572   -0.9442
   1281005354.611062     3.741    -6.741   -0.7344
   1281005355.040140     3.914    -6.871   -0.5229
   1281005355.470448     4.077    -6.908   -0.2898
   1281005356.100189     4.425    -6.954   -0.0316
   1281005356.740209     4.767    -6.966   -0.1227
   1281005357.390127     5.052    -7.035   -0.2922
   1281005358.030603     5.361    -7.112   -0.1284
   1281005358.670203     5.668    -7.154   -0.1737
   1281005359.309952     5.993    -7.216   -0.2116
   1281005359.950547     6.293    -7.285   -0.2119
   1281005360.590562     6.614    -7.324    0.0428
   1281005361.230572     6.944    -7.256    0.2230
   1281005361.650194     7.155    -7.187    0.5252
   1281005362.080283     7.310    -7.040    0.8247
   1281005362.510923     7.447    -6.892    1.1126
   1281005363.150592     7.559    -6.594    1.2368
   1281005363.790254     7.670    -6.292    1.1963
   1281005364.430660     7.785    -5.999    1.1511
   1281005365.070846     7.906    -5.663    1.3525
   1281005365.490666     7.914    -5.463    1.5717
   1281005366.140160     7.847    -5.175    1.6764
   1281005366.780176     7.816    -4.851    1.6702
   1281005367.410767     7.787    -4.531    1.5838
   1281005368.050733     7.885    -4.220    1.1848
   1281005368.690501     8.055    -3.956    0.7564
   1281005369.340206     8.335    -3.804    0.3211
   1281005371.470489     8.610    -3.772    0.1357
   1281005372.970156     8.703    -3.761    0.3958
   1281005373.390197     8.697    -3.752    0.6899
   1281005373.820441     8.678    -3.737    0.9887
   1281005374.250178     8.683    -3.713    1.2877
   1281005374.670576     8.677    -3.722    1.5856
   1281005375.100189     8.669    -3.730    1.8716
   1281005375.520406     8.595    -3.658    2.1895
   1281005375.950373     8.458    -3.514    2.4889
   1281005376.380321     8.264    -3.412    2.7813
   1281005377.020991     7.955    -3.341    2.9585
   1281005377.660229     7.725    -3.303    2.9061
   1281005378.510170     7.505    -3.211    2.4693
   1281005379.150237     7.341    -2.989    2.0810
   1281005379.790215     7.229    -2.669    1.6543
   1281005380.430255     7.201    -2.341    1.6765
   1281005381.080525     7.184    -2.033    1.5915
   1281005381.710287     7.168    -1.708    1.7085
   1281005382.140587     7.070    -1.501    1.9620
   1281005382.570199     6.958    -1.305    2.2690
   1281005383.000565     6.788    -1.180    2.5690
   1281005383.420581     6.597    -1.079    2.8740
   1281005383.849995     6.382    -1.083   -3.1228
   1281005384.280205     6.167    -1.115   -2.8644
   1281005384.920125     5.856    -1.196   -3.0450
   1281005385.550134     5.558    -1.120    2.8134
   1281005386.190523     5.293    -0.967    2.3808
   1281005386.840416     5.071    -0.751    2.3390
   1281005387.470721     4.825    -0.522    2.4043
   1281005388.120135     4.545    -0.349    2.6381
   1281005388.750669     4.257    -0.190    2.6561
   1281005389.400115     3.988    -0.096    2.8843
   1281005390.040138     3.632    -0.001    3.0139
   1281005390.670909     3.331     0.037    3.0046
   1281005391.320141     3.032     0.075    2.9932
   1281005391.950242     2.688     0.105    2.9751
   1281005392.600194     2.369     0.142    3.1151
   1281005393.240156     2.042     0.132   -3.0996
   1281005393.880181     1.694     0.133   -3.1054
   1281005394.520130     1.404     0.109   -3.1107
   1281005395.160052     1.061     0.117   -3.1128
   1281005395.800551     0.742     0.107   -3.0532
   1281005396.440695     0.422     0.058   -2.8935
   1281005397.080520     0.138    -0.059   -2.8175
   1281005397.720407    -0.167    -0.165   -2.8167
   1281005398.360430    -0.470    -0.262   -2.8245
   1281005399.000460    -0.782    -0.359   -2.8361
   1281005399.640983    -1.082    -0.451   -2.8473
   1281005400.280938    -1.390    -0.548   -2.8191
   1281005400.920827    -1.689    -0.657   -2.7095
   1281005401.560700    -1.969    -0.822   -2.4647
   1281005402.200861    -2.177    -1.072   -2.2137
   1281005402.841083    -2.353    -1.355   -1.9672
   1281005403.481013    -2.451    -1.671   -1.7132
   1281005404.120768    -2.463    -1.993   -1.4657
   1281005404.760161    -2.384    -2.315   -1.4472
   1281005406.470459    -2.370    -2.669   -1.4812
   1281005407.110449    -2.352    -2.977   -1.5516
   1281005407.750538    -2.363    -3.335   -1.6463
   1281005408.390490    -2.399    -3.654   -1.7435
   1281005409.030831    -2.460    -3.919   -1.7843
   1281005409.670775    -2.538    -4.276   -1.7969
   1281005410.310347    -2.598    -4.595   -1.7236
   1281005410.950482    -2.653    -4.917   -1.7086
   1281005411.590847    -2.700    -5.231   -1.7263
   1281005412.230440    -2.756    -5.502   -1.8805
   1281005412.870188    -2.881    -5.793   -2.0380
   1281005413.940187    -2.921    -5.908   -2.0019
   1281005415.430599    -2.889    -5.847   -1.7009
   1281005415.860965    -2.892    -5.835   -1.4001
   1281005416.290185    -2.895    -5.897   -1.1015
   1281005416.710194    -2.738    -6.088   -0.7787
   1281005417.140442    -2.627    -6.149   -0.5637
   1281005418.210623    -2.592    -6.188   -0.3262
   1281005419.480587    -2.303    -6.230   -0.1274
   1281005420.130523    -1.997    -6.263   -0.1288
   1281005420.760661    -1.682    -6.314   -0.2648
